Sample_number	ID_indiv	Year_collect	Length	Weight
77	PM_OCQ_473	2019	51	0.122
78	PM_OCQ_474	2019	43	0.109
79	PM_OCQ_475	2019	47	0.093
80	PM_OCQ_476	2019	56	0.227
81	PM_OCQ_477	2019	53	0.176
82	PM_OCQ_478	2019	46	0.072
83	PM_OCQ_479	2019	62	0.276
84	PM_OCQ_480	2019	51	0.126
85	PM_OCQ_481	2019	55	0.147
86	PM_OCQ_482	2019	56	0.272
87	PM_OCQ_483	2019	32	0.021
88	PM_OCQ_484	2019	35	0.033
89	PM_OCQ_485	2019	24	0.013
90	PM_OCQ_486	2019	46	0.169
91	PM_OCQ_487	2019	56	0.227
92	PM_OCQ_488	2019	29	0.013
93	PM_OCQ_489	2019	22	0.01
94	PM_OCQ_490	2019	30	0.012
95	PM_OCQ_491	2019	31	0.026
96	PM_OCQ_492	2019	47	0.153
97	PM_OCQ_493	2019	33	0.029
98	PM_OCQ_494	2019	31	0.047
99	PM_OCQ_495	2019	52	0.16
100	PM_OCQ_496	2019	43	0.112
101	PM_OCQ_497	2019	35	0.041
102	PM_OCQ_498	2019	48	0.142
103	PM_OCQ_499	2019	47	0.21
104	PM_OCQ_500	2019	27	0.021
105	PM_OCQ_501	2019	56	0.252
106	PM_OCQ_502	2019	23	0.016
107	PM_OCQ_503	2019	58	0.252
108	PM_OCQ_504	2019	28	0.014
109	PM_OCQ_505	2019	27	0.016
110	PM_OCQ_506	2019	33	0.021
111	PM_OCQ_507	2019	47	0.182
112	PM_OCQ_508	2019	55	0.219
113	PM_OCQ_509	2019	49	0.171
114	PM_OCQ_510	2019	47	0.141
115	PM_OCQ_511	2019	54	0.202
116	PM_OCQ_512	2019	47	0.159
117	PM_OCQ_513	2019	32	0.053
118	PM_OCQ_514	2019	33	0.027
119	PM_OCQ_515	2019	27	0.033
120	PM_OCQ_516	2019	26	0.013
121	PM_OCQ_517	2019	27	0.017
122	PM_STE_001	2019	145	4.944
123	PM_STE_002	2019	144	4.642
124	PM_STE_003	2019	155	5.548
125	PM_STE_004	2019	140	4.598
126	PM_STE_005	2019	155	5.91
127	PM_STE_006	2019	179	8.565
128	PM_STE_007	2019	138	3.86
129	PM_STE_008	2019	142	4.284
130	PM_STE_009	2019	154	5.965
131	PM_STE_010	2019	165	6.802
132	PM_STE_011	2019	129	3.83
133	PM_STE_012	2019	138	4.082
134	PM_STE_013	2019	142	4.309
135	PM_STE_014	2019	138	4.385
136	PM_STE_015	2019	142	4.153
137	PM_STE_016	2019	125	3.337
138	PM_STE_017	2019	128	3.082
139	PM_STE_018	2019	157	5.778
140	PM_STE_019	2019	143	4.689
141	PM_STE_020	2019	149	5.366
142	PM_STE_021	2019	136	3.881
143	PM_STE_022	2019	149	5.219
144	PM_STE_023	2019	156	5.554
145	PM_STE_024	2019	130	3.952
146	PM_STE_025	2019	155	6.038
147	PM_STE_026	2019	140	4.059
148	PM_STE_027	2019	146	4.907
149	PM_STE_028	2019	159	6.027
150	PM_STE_029	2019	155	6.103
151	PM_STE_030	2019	133	3.829
152	PM_STE_031	2019	156	5.895
153	PM_STE_032	2019	152	5.652
154	PM_STE_033	2019	165	6.702
155	PM_STE_034	2019	136	4.541
156	PM_STE_035	2019	128	3.623
157	PM_STE_036	2019	129	3.654
158	PM_STE_037	2019	126	3.138
159	PM_STE_038	2019	143	4.335
160	PM_STE_039	2019	143	4.722
161	PM_STE_040	2019	156	6.182
162	PM_STE_041	2019	144	4.138
163	PM_STE_042	2019	153	5.076
164	PM_STE_043	2019	140	3.993
165	PM_STE_044	2019	144	5.259
166	PM_STE_045	2019	151	5.32
167	PM_STE_046	2019	143	3.773
168	PM_STE_047	2019	155	5.316
169	PM_STE_048	2019	159	5.944
170	PM_STE_049	2019	140	4.38
171	PM_STE_050	2019	134	3.958
172	PM_STE_051	2019	150	5.211
173	PM_STE_052	2019	145	5.26
174	PM_STE_053	2019	136	3.39
175	PM_STE_054	2019	133	3.561
176	PM_STE_055	2019	134	4.144
177	PM_STE_056	2019	145	5.044
178	PM_STE_057	2019	130	3.253
179	PM_STE_058	2019	144	5.385
180	PM_STE_059	2019	169	8.306
181	PM_STE_060	2019	152	6.152
182	PM_STE_061	2019	130	3.54
183	PM_STE_062	2019	125	3.043
184	PM_STE_063	2019	129	3.151
185	PM_STE_064	2019	154	5.702
186	PM_STE_065	2019	141	4.145
187	PM_STE_066	2019	140	3.924
188	PM_STE_067	2019	137	3.666
189	PM_STE_068	2019	150	5.139
190	PM_STE_069	2019	132	3.311
191	PM_STE_070	2019	150	5.307
192	PM_STE_071	2019	129	2.697
193	PM_STE_072	2019	139	4.246
194	PM_STE_073	2019	146	5.16
195	PM_STE_074	2019	144	4.338
196	PM_STE_075	2019	139	4.399
197	PM_STE_076	2019	155	6.545
198	PM_STE_077	2019	129	3.377
199	PM_STE_078	2019	127	3.883
200	PM_STE_079	2019	136	4.254
201	PM_STE_080	2019	134	4.399
202	PM_STE_081	2019	152	6.024
203	PM_STE_082	2019	124	3.258
204	PM_STE_083	2019	149	5.251
205	PM_STE_084	2019	136	4.427
206	PM_STE_085	2019	148	4.596
207	PM_STE_086	2019	143	4.445
208	PM_STE_087	2019	144	5.956
209	PM_STE_088	2019	145	4.201
210	PM_STE_089	2019	132	3.762
211	PM_STE_090	2019	120	3.123
212	PM_STE_091	2019	138	4.949
213	PM_STE_092	2019	140	3.669
214	PM_STE_093	2019	122	2.899
215	PM_STE_094	2019	132	3.516
216	PM_STE_095	2019	122	3.279
217	PM_STE_096	2019	150	4.7
218	PM_STE_097	2019	146	4.754
219	PM_STE_098	2019	135	3.891
220	PM_STE_099	2019	150	5.506
221	PM_STE_100	2019	140	4.913
222	PM_STE_101	2019	146	5.623
223	PM_STE_102	2019	152	5.951
224	PM_STE_103	2019	133	3.74
225	PM_STE_104	2019	160	6.299
226	PM_STE_105	2019	135	4.102
227	PM_STE_106	2019	154	5.932
228	PM_STE_107	2019	145	5.276
229	PM_STE_108	2019	150	5.622
230	PM_STE_109	2019	147	5.514
231	PM_STE_110	2019	137	4.23
232	PM_STE_111	2019	145	5.136
233	PM_STE_112	2019	137	4.398
234	PM_STE_113	2019	155	6.14
235	PM_STE_114	2019	153	5.521
236	PM_STE_115	2019	147	5.129
237	PM_STE_116	2019	147	4.779
238	PM_STE_117	2019	143	4.769
239	PM_STE_118	2019	167	7.711
240	PM_STE_119	2019	162	7.018
241	PM_STE_120	2019	135	4.454
242	PM_STE_121	2019	111	2.182
243	PM_STE_122	2019	138	3.877
244	PM_CAT_001	2019	40	0.045
245	PM_CAT_002	2019	43	0.067
246	PM_CAT_003	2019	42	0.049
247	PM_CAT_004	2019	45	0.054
248	PM_CAT_005	2019	43	0.065
249	PM_CAT_006	2019	45	0.075
250	PM_CAT_007	2019	41	0.064
251	PM_CAT_008	2019	46	0.099
252	PM_CAT_009	2019	46	0.082
253	PM_CAT_010	2019	45	0.071
254	PM_CAT_011	2019	41	0.051
255	PM_CAT_012	2019	42	0.038
256	PM_CAT_013	2019	39	0.06
257	PM_CAT_014	2019	46	0.088
258	PM_CAT_015	2019	42	0.071
259	PM_CAT_016	2019	45	0.087
260	PM_CAT_017	2019	50	0.137
261	PM_CAT_018	2019	52	0.124
262	PM_CAT_019	2019	53	0.138
263	PM_CAT_020	2019	44	0.076
264	PM_CAT_021	2019	48	0.1
265	PM_CAT_022	2019	49	0.107
266	PM_CAT_023	2019	49	0.117
267	PM_CAT_024	2019	49	0.131
268	PM_CAT_025	2019	50	0.12
269	PM_CAT_026	2019	48	0.079
270	PM_CAT_027	2019	49	0.111
271	PM_CAT_028	2019	47	0.081
272	PM_CAT_029	2019	48	0.098
273	PM_CAT_030	2019	41	0.071
274	PM_CAT_031	2019	50	0.146
275	PM_CAT_032	2019	41	0.056
276	PM_CAT_033	2019	45	0.094
277	PM_CAT_034	2019	49	0.108
278	PM_CAT_035	2019	52	0.148
279	PM_CAT_036	2019	51	0.146
280	PM_CAT_037	2019	39	0.041
281	PM_CAT_038	2019	43	0.072
282	PM_CAT_039	2019	45	0.1
283	PM_CAT_040	2019	50	0.115
284	PM_CAT_041	2019	50	0.137
285	PM_CAT_042	2019	45	0.051
286	PM_CAT_043	2019	46	0.073
287	PM_CAT_044	2019	44	0.069
288	PM_CAT_045	2019	38	0.032
289	PM_CAT_046	2019	49	0.121
290	PM_CAT_047	2019	51	0.117
291	PM_CAT_048	2019	53	0.133
292	PM_CAT_049	2019	43	0.047
293	PM_CAT_050	2019	45	0.065
294	PM_CAT_051	2019	53	0.15
295	PM_CAT_052	2019	46	0.1
296	PM_CAT_053	2019	49	0.103
297	PM_CAT_054	2019	40	0.037
298	PM_CAT_055	2019	46	0.084
299	PM_CAT_056	2019	47	0.104
300	PM_CAT_057	2019	48	0.146
301	PM_CAT_058	2019	43	0.064
302	PM_CAT_059	2019	51	0.096
303	PM_CAT_060	2019	46	0.104
304	PM_CAT_061	2019	39	0.056
305	PM_CAT_062	2019	53	0.143
306	PM_CAT_063	2019	37	0.031
307	PM_CAT_064	2019	42	0.07
308	PM_CAT_065	2019	38	0.043
309	PM_CAT_066	2019	49	0.113
310	PM_CAT_067	2019	44	0.072
311	PM_CAT_068	2019	38	0.041
312	PM_CAT_069	2019	44	0.082
313	PM_CAT_070	2019	43	0.046
314	PM_CAT_071	2019	50	0.128
315	PM_CAT_072	2019	50	0.136
316	PM_CAT_073	2019	38	0.029
317	PM_CAT_074	2019	47	0.119
318	PM_CAT_075	2019	46	0.115
319	PM_CAT_076	2019	49	0.143
320	PM_CAT_077	2019	52	0.074
321	PM_CAT_078	2019	41	0.048
322	PM_CAT_079	2019	45	0.08
323	PM_CAT_080	2019	45	0.049
324	PM_CAT_081	2019	49	0.102
325	PM_CAT_082	2019	42	0.033
326	PM_CAT_083	2019	48	0.086
327	PM_CAT_084	2019	40	0.031
328	PM_CAT_085	2019	42	0.054
329	PM_CAT_086	2019	43	0.07
330	PM_CAT_087	2019	51	0.134
331	PM_CAT_088	2019	41	0.075
332	PM_CAT_089	2019	48	0.116
333	PM_CAT_090	2019	47	0.042
334	PM_CAT_091	2019	48	0.057
335	PM_CAT_092	2019	49	0.114
336	PM_CAT_093	2019	49	0.061
337	PM_CAT_094	2019	45	0.079
338	PM_CAT_095	2019	44	0.062
339	PM_CAT_096	2019	44	0.058
340	PM_CAT_097	2019	47	0.092
341	PM_CAT_098	2019	47	0.058
342	PM_CAT_099	2019	48	0.05
343	PM_CAT_100	2019	50	0.118
344	PM_CAT_101	2019	45	0.08
345	PM_CAT_102	2019	50	0.081
346	PM_CAT_103	2019	43	0.041
347	PM_CAT_104	2019	40	0.032
348	PM_CAT_105	2019	50	0.062
349	PM_CAT_106	2019	51	0.151
350	PM_CAT_107	2019	50	0.096
351	PM_CAT_108	2019	46	0.105
352	PM_CAT_109	2019	41	0.038
353	PM_CAT_110	2019	45	0.076
354	PM_CAT_111	2019	39	0.057
355	PM_CAT_112	2019	43	0.079
356	PM_CAT_113	2019	44	0.047
357	PM_CAT_114	2019	42	0.042
358	PM_CAT_115	2019	49	0.067
359	PM_CAT_116	2019	41	0.031
360	PM_CAT_117	2019	50	0.066
361	PM_CAT_118	2019	50	0.081
362	PM_CAT_119	2019	47	0.075
363	PM_CAT_120	2019	45	0.095
364	PM_CAT_121	2019	40	0.051
365	PM_CAT_122	2019	41	0.038
366	PM_CAT_123	2019	39	0.045
367	PM_CAT_124	2019	43	0.085
368	PM_CAT_125	2019	49	0.05
369	PM_CAT_126	2019	47	0.052
370	PM_CAT_127	2019	50	0.118
371	PM_CAT_128	2019	45	0.065
372	PM_CAT_129	2019	53	0.115
373	PM_CAT_130	2019	39	0.044
374	PM_CAT_131	2019	52	0.082
375	PM_CAT_132	2019	50	0.076
376	PM_CAT_133	2019	46	0.082
377	PM_CAT_134	2019	44	0.096
378	PM_CAT_135	2019	51	0.065
379	PM_CAT_136	2019	42	0.081
380	PM_CAT_137	2019	44	0.108
381	PM_CAT_138	2019	44	0.063
382	PM_CAT_139	2019	40	0.039
383	PM_CAT_140	2019	41	0.07
384	PM_CAT_141	2019	44	0.09
385	PM_CAT_142	2019	37	0.047
386	PM_CAT_143	2019	39	0.064
387	PM_CAT_144	2019	39	0.04
388	PM_CAT_145	2019	52	0.108
389	PM_CAT_146	2019	50	0.076
390	PM_CAT_147	2019	47	0.075
391	PM_CAT_148	2019	40	0.031
392	PM_CAT_149	2019	43	0.036
393	PM_CAT_150	2019	37	0.037
394	PM_CAT_151	2019	43	0.054
395	PM_CAT_152	2019	50	0.085
396	PM_CAT_153	2019	44	0.043
397	PM_CAT_154	2019	48	0.087
398	PM_CAT_155	2019	45	0.057
399	PM_CAT_156	2019	44	0.037
400	PM_CAT_157	2019	43	0.035
401	PM_CAT_158	2019	51	0.12
402	PM_CAT_159	2019	47	0.042
403	PM_CAT_160	2019	45	0.08
404	PM_CAT_161	2019	46	0.053
405	PM_CAT_162	2019	50	0.067
406	PM_CAT_163	2019	47	0.125
407	PM_CAT_164	2019	44	0.087
408	PM_CAT_165	2019	47	0.059
409	PM_CAT_166	2019	51	0.137
410	PM_CAT_167	2019	46	0.049
411	PM_CAT_168	2019	45	0.086
412	PM_CAT_169	2019	46	0.088
413	PM_CAT_170	2019	44	0.097
414	PM_CAT_171	2019	50	0.106
415	PM_CAT_172	2019	45	0.057
416	PM_CAT_173	2019	45	0.088
417	PM_CAT_174	2019	50	0.135
418	PM_CAT_175	2019	44	0.074
419	PM_CAT_176	2019	52	0.091
420	PM_CAT_177	2019	50	0.118
421	PM_CAT_178	2019	44	0.053
422	PM_CAT_179	2019	56	0.137
423	PM_CAT_180	2019	45	0.041
424	PM_CAT_181	2019	46	0.07
425	PM_CAT_182	2019	51	0.115
426	PM_CAT_183	2019	44	0.095
427	PM_CAT_184	2019	42	0.033
428	PM_CAT_185	2019	44	0.063
429	PM_CAT_186	2019	54	0.126
430	PM_CAT_187	2019	46	0.061
431	PM_CAT_188	2019	44	0.05
432	PM_CAT_189	2019	43	0.051
433	PM_CAT_190	2019	54	0.109
434	PM_CAT_191	2019	45	0.058
435	PM_CAT_192	2019	45	0.05
436	PM_CAT_193	2019	40	0.045
437	PM_CAT_194	2019	41	0.033
438	PM_CAT_195	2019	47	0.099
439	PM_CAT_196	2019	42	0.064
440	PM_CAT_197	2019	49	0.069
441	PM_CAT_198	2019	50	0.07
442	PM_CAT_199	2019	41	0.058
443	PM_CAT_200	2019	44	0.085
444	PM_CAT_201	2019	44	0.075
445	PM_CAT_202	2019	45	0.058
446	PM_CAT_203	2019	45	0.104
447	PM_CAT_204	2019	39	0.031
448	PM_CAT_205	2019	48	0.066
449	PM_CAT_206	2019	43	0.043
450	PM_CAT_207	2019	42	0.043
451	PM_CAT_208	2019	41	0.035
452	PM_CAT_209	2019	50	0.066
453	PM_CAT_210	2019	45	0.065
454	PM_CAT_211	2019	41	0.038
455	PM_CAT_212	2019	42	0.045
456	PM_CAT_213	2019	46	0.108
457	PM_CAT_214	2019	40	0.042
458	PM_CAT_215	2019	45	0.059
459	PM_CAT_216	2019	37	0.031
460	PM_CAT_217	2019	42	0.032
461	PM_CAT_218	2019	46	0.083
462	PM_CAT_219	2019	41	0.056
463	PM_CAT_220	2019	46	0.107
464	PM_CAT_221	2019	41	0.067
465	PM_CAT_222	2019	49	0.062
466	PM_CAT_223	2019	51	0.074
467	PM_CAT_224	2019	52	0.052
468	PM_CAT_225	2019	44	0.043
469	PM_CAT_226	2019	43	0.103
470	PM_CAT_227	2019	51	0.091
471	PM_CAT_228	2019	55	0.133
472	PM_CAT_229	2019	43	0.044
473	PM_CAT_230	2019	41	0.048
474	PM_CAT_231	2019	49	0.08
475	PM_CAT_232	2019	37	0.075
476	PM_CAT_233	2019	37	0.038
477	PM_CAT_234	2019	39	0.05
478	PM_CAT_235	2019	42	0.062
479	PM_CAT_236	2019	46	0.103
480	PM_CAT_237	2019	50	0.075
481	PM_CAT_238	2019	39	0.053
482	PM_CAT_239	2019	44	0.052
483	PM_CAT_240	2019	41	0.033
484	PM_CAT_241	2019	45	0.043
485	PM_CAT_242	2019	40	0.035
486	PM_CAT_243	2019	41	0.066
487	PM_CAT_244	2019	38	0.04
488	PM_CAT_245	2019	44	0.071
489	PM_CAT_246	2019	43	0.101
490	PM_CAT_247	2019	43	0.051
491	PM_CAT_248	2019	38	0.042
492	PM_CAT_249	2019	39	0.032
493	PM_CAT_250	2019	45	0.05
494	PM_CAT_251	2019	41	0.043
495	PM_CAT_252	2019	51	0.131
496	PM_CAT_253	2019	49	0.087
497	PM_CAT_254	2019	40	0.07
498	PM_CAT_255	2019	37	0.07
499	PM_CAT_256	2019	41	0.042
500	PM_CAT_257	2019	40	0.04
501	PM_CAT_258	2019	49	0.142
502	PM_CAT_259	2019	85	0.85
503	PM_CAT_260	2019	103	1.686
504	PM_CAT_261	2019	100	1.53
505	PM_CAT_262	2019	81	0.753
506	PM_CAT_263	2019	78	0.713
507	PM_CAT_264	2019	117	2.386
508	PM_CAT_265	2019	92	1.174
509	PM_CAT_266	2019	76	0.545
510	PM_CAT_267	2019	105	1.39
511	PM_BET_001	2019	31	0.019
512	PM_BET_002	2019	33	0.019
513	PM_BET_003	2019	33	0.015
514	PM_BET_004	2019	33	0.019
515	PM_BET_005	2019	31	0.014
516	PM_BET_006	2019	35	0.018
517	PM_BET_007	2019	32	0.018
518	PM_BET_008	2019	28	0.014
519	PM_BET_009	2019	35	0.021
520	PM_BET_010	2019	30	0.013
521	PM_BET_011	2019	36	0.036
522	PM_BET_012	2019	27	0.014
523	PM_BET_013	2019	35	0.016
524	PM_BET_014	2019	28	0.011
525	PM_BET_015	2019	29	0.012
526	PM_BET_016	2019	27	0.011
527	PM_BET_017	2019	28	0.015
528	PM_BET_018	2019	28	0.011
529	PM_BET_019	2019	28	0.013
530	PM_BET_020	2019	36	0.064
531	PM_BET_021	2019	32	0.027
532	PM_BET_022	2019	34	0.045
533	PM_BET_023	2019	36	0.047
534	PM_BET_024	2019	37	0.075
535	PM_BET_025	2019	37	0.046
536	PM_BET_026	2019	33	0.028
537	PM_BET_027	2019	40	0.073
538	PM_BET_028	2019	35	0.042
539	PM_BET_029	2019	38	0.063
540	PM_BET_030	2019	35	0.024
541	PM_BET_031	2019	39	0.056
542	PM_BET_032	2019	30	0.022
543	PM_BET_033	2019	26	0.017
544	PM_BET_034	2019	33	0.034
545	PM_BET_035	2019	40	0.076
546	PM_BET_036	2019	38	0.054
547	PM_BET_037	2019	38	0.053
548	PM_BET_038	2019	35	0.035
549	PM_BET_039	2019	40	0.054
550	PM_BET_040	2019	28	0.022
551	PM_BET_041	2019	34	0.039
552	PM_BET_042	2019	29	0.019
553	PM_BET_043	2019	27	0.014
554	PM_BET_044	2019	30	0.025
555	PM_BET_045	2019	35	0.051
556	PM_BET_046	2019	34	0.046
557	PM_BET_047	2019	38	0.072
558	PM_BET_048	2019	35	0.04
559	PM_BET_049	2019	40	0.074
560	PM_BET_050	2019	32	0.018
561	PM_BET_051	2019	34	0.046
562	PM_BET_052	2019	30	0.035
563	PM_BET_053	2019	37	0.062
564	PM_BET_054	2019	34	0.043
565	PM_BET_055	2019	37	0.032
566	PM_BET_056	2019	38	0.073
567	PM_BET_057	2019	39	0.077
568	PM_BET_058	2019	35	0.053
569	PM_BET_059	2019	39	0.047
570	PM_BET_060	2019	38	0.071
571	PM_BET_061	2019	40	0.073
572	PM_BET_062	2019	38	0.055
573	PM_BET_063	2019	36	0.034
574	PM_BET_064	2019	37	0.041
575	PM_BET_065	2019	34	0.034
576	PM_BET_066	2019	36	0.073
577	PM_BET_067	2019	36	0.068
578	PM_BET_068	2019	34	0.036
579	PM_BET_069	2019	30	0.026
580	PM_BET_070	2019	31	0.029
581	PM_BET_071	2019	37	0.037
582	PM_BET_072	2019	36	0.069
583	PM_BET_073	2019	33	0.025
584	PM_BET_074	2019	37	0.039
585	PM_BET_075	2019	34	0.033
586	PM_BET_076	2019	39	0.055
587	PM_BET_077	2019	36	0.046
588	PM_BET_078	2019	33	0.018
589	PM_BET_079	2019	35	0.041
590	PM_BET_080	2019	28	0.012
591	PM_BET_081	2019	30	0.024
592	PM_BET_082	2019	30	0.014
593	PM_BET_083	2019	27	0.012
594	PM_BET_084	2019	40	0.088
595	PM_BET_085	2019	42	0.119
596	PM_BET_086	2019	47	0.146
597	PM_BET_087	2019	48	0.147
598	PM_BET_088	2019	44	0.12
599	PM_BET_089	2019	49	0.163
600	PM_BET_090	2019	44	0.123
601	PM_BET_091	2019	41	0.09
602	PM_BET_092	2019	39	0.08
603	PM_BET_093	2019	45	0.11
604	PM_BET_094	2019	49	0.163
605	PM_BET_095	2019	43	0.1
606	PM_BET_096	2019	44	0.103
607	PM_BET_097	2019	45	0.127
608	PM_BET_098	2019	48	0.177
609	PM_BET_099	2019	41	0.07
610	PM_BET_100	2019	50	0.184
611	PM_BET_101	2019	42	0.079
612	PM_BET_102	2019	42	0.09
613	PM_BET_103	2019	20	0.006
614	PM_BET_104	2019	45	0.142
615	PM_BET_105	2019	40	0.061
616	PM_BET_106	2019	45	0.112
617	PM_BET_107	2019	42	0.079
618	PM_BET_108	2019	46	0.137
619	PM_BET_109	2019	43	0.113
620	PM_BET_110	2019	38	0.053
621	PM_BET_111	2019	41	0.066
622	PM_BET_112	2019	42	0.088
623	PM_BET_113	2019	43	0.092
624	PM_BET_114	2019	45	0.118
625	PM_BET_115	2019	44	0.12
626	PM_BET_116	2019	41	0.087
627	PM_BET_117	2019	47	0.113
628	PM_BET_118	2019	50	0.167
629	PM_BET_119	2019	40	0.055
630	PM_BET_120	2019	44	0.121
631	PM_BET_121	2019	25	0.015
632	PM_BET_122	2019	46	0.113
633	PM_BET_123	2019	25	0.01
634	PM_BET_124	2019	25	0.009
635	PM_BET_125	2019	25	0.007
636	PM_BET_126	2019	24	0.004
637	PM_BET_127	2019	27	0.009
638	PM_BET_128	2019	43	0.042
639	PM_BET_129	2019	27	0.011
640	PM_BET_130	2019	23	0.009
641	PM_BET_131	2019	25	0.01
642	PM_BET_132	2019	29	0.009
643	PM_BET_133	2019	25	0.005
644	PM_BET_134	2019	23	0.007
645	PM_BET_135	2019	51	0.212
646	PM_BET_136	2019	44	0.108
647	PM_BET_137	2019	41	0.093
648	PM_BET_138	2019	46	0.153
649	PM_BET_139	2019	49	0.183
650	PM_TAQ_001	2019	32	0.018
651	PM_TAQ_002	2019	37	0.029
652	PM_TAQ_003	2019	38	0.037
653	PM_TAQ_004	2019	44	0.069
654	PM_TAQ_005	2019	34	0.024
655	PM_TAQ_006	2019	37	0.029
656	PM_TAQ_007	2019	39	0.034
657	PM_TAQ_008	2019	37	0.031
658	PM_TAQ_009	2019	34	0.022
659	PM_TAQ_010	2019	39	0.044
660	PM_TAQ_011	2019	42	0.043
661	PM_TAQ_012	2019	36	0.028
662	PM_TAQ_013	2019	39	0.044
663	PM_TAQ_014	2019	38	0.027
664	PM_TAQ_015	2019	44	0.072
665	PM_TAQ_016	2019	34	0.022
666	PM_TAQ_017	2019	32	0.015
667	PM_TAQ_018	2019	36	0.028
668	PM_TAQ_019	2019	35	0.03
669	PM_TAQ_020	2019	43	0.055
670	PM_TAQ_021	2019	32	0.021
671	PM_TAQ_022	2019	29	0.014
672	PM_TAQ_023	2019	40	0.034
673	PM_TAQ_024	2019	39	0.046
674	PM_TAQ_025	2019	33	0.019
675	PM_TAQ_026	2019	38	0.054
676	PM_TAQ_027	2019	35	0.037
677	PM_TAQ_028	2019	35	0.028
678	PM_TAQ_029	2019	35	0.022
679	PM_TAQ_030	2019	40	0.057
680	PM_TAQ_031	2019	34	0.017
681	PM_TAQ_032	2019	36	0.028
682	PM_TAQ_033	2019	40	0.032
683	PM_TAQ_034	2019	33	0.022
684	PM_TAQ_035	2019	35	0.02
685	PM_TAQ_036	2019	40	0.03
686	PM_TAQ_037	2019	37	0.025
687	PM_TAQ_038	2019	33	0.015
688	PM_TAQ_039	2019	43	0.089
689	PM_TAQ_040	2019	44	0.059
690	PM_TAQ_041	2019	41	0.052
691	PM_TAQ_042	2019	40	0.049
692	PM_TAQ_043	2019	35	0.022
693	PM_TAQ_044	2019	36	0.03
694	PM_TAQ_045	2019	38	0.023
695	PM_TAQ_046	2019	33	0.016
696	PM_TAQ_047	2019	33	0.02
697	PM_TAQ_048	2019	43	0.067
698	PM_TAQ_049	2019	34	0.017
699	PM_TAQ_050	2019	36	0.031
700	PM_TAQ_051	2019	27	0.01
701	PM_TAQ_052	2019	33	0.015
